Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Arcare Brighton,58 Cochrane Street,,BRIGHTON,VIC,3186,Southern Metro,Residential,61,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9003764,144.9990246," $3,366,952 "
St Michael's Aged Care Facility,1 Omama Road,,MURRUMBEENA,VIC,3163,Southern Metro,Residential,40,,,K.N.D. & Associates Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.889785,145.069771," $2,242,294 "
Carrum Downs Private Nursing Home,1135 Frankston-Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,60,,,Merakis Enterprises Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.0916551,145.1802513," $3,628,514 "
Luson Eden Park,31-33 Thompson Street,,WHITTINGTON,VIC,3219,Barwon-South Western,Residential,90,,,Luson Health Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.177631,144.387398," $6,502,841 "
Clovelly Cottage,16 Stewart Street,,BORONIA,VIC,3155,Eastern Metro,Residential,151,,,Autumn Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.852256,145.289189," $12,109,699 "
Bupa Coburg,24 Sutherland Street,,COBURG,VIC,3058,Northern Metro,Residential,75,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7387987,144.9612588," $4,398,949 "
Trinity Manor,8-14 Pretoria Street,,DEEPDENE,VIC,3103,Eastern Metro,Residential,83,,,Trinity Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.80970813,145.0657701," $4,230,165 "
Centennial Lodge,13 Lewis Road,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Residential,75,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.85781815,145.2531079," $5,007,302 "
Craigcare Pascoe Vale,1 A Virginia Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,140,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.71547763,144.9435755," $9,153,156 "
Uniting AgeWell Manor Lakes,15 Buffalo Crescent,,WYNDHAM VALE,VIC,3024,Western Metro,Residential,88,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.8737748,144.6071519," $6,810,430 "
Mercy Place Rice Village,7 Moylan Loop,,MARSHALL,VIC,3216,Barwon-South Western,Residential,92,,,Rice Village Ltd,Religious,Major Cities of Australia,-38.19781445,144.3601423," $6,146,242 "
Glenlyn Aged Care Facility,34 Finchley Avenue,,GLENROY,VIC,3046,Northern Metro,Residential,76,,,Kincsem Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.70286745,144.9114671," $4,837,515 "
Japara St Judes,381-403 Narre Warren North Road,,NARRE WARREN NORTH,VIC,3804,Southern Metro,Residential,90,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.99018129,145.3137214," $6,826,330 "
Bupa Woodend,2 Sullivans Road,,WOODEND,VIC,3442,Loddon-Mallee,Residential,113,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.36303883,144.535484," $6,778,924 "
Della Dale Aged Care,17 Derwent Street,,RINGWOOD,VIC,3134,Eastern Metro,Residential,30,,,NDN Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.803608,145.2289," $1,492,952 "
Arcare Malvern East,1997-2005 Malvern Road,,MALVERN EAST,VIC,3145,Southern Metro,Residential,93,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87184111,145.0639362," $6,214,501 "
Estia Health Grovedale,6a Perrett Street,,GROVEDALE,VIC,3216,Barwon-South Western,Residential,120,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.207143,144.3411936," $7,596,761 "
Royal Freemasons Springtime,41 Manchester Drive,,SYDENHAM,VIC,3037,Western Metro,Residential,50,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.68479878,144.7598467," $4,157,311 "
Kew Gardens Aged Care,22-24 Gellibrand Street,,KEW,VIC,3101,Eastern Metro,Residential,100,,,Australian Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.80823986,145.0326718," $3,668,736 "
Estia Health Epping VIC,30 Epping Road,,EPPING,VIC,3076,Northern Metro,Residential,70,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.635063,145.0271988," $5,088,974 "
Estia Health Wattle Glen,45 Silvan Road,,WATTLE GLEN,VIC,3096,Northern Metro,Residential,98,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.65414808,145.194382," $6,236,721 "
Japara Central Park,101 Punt Road,,WINDSOR,VIC,3181,Southern Metro,Residential,165,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.85182895,144.9832201," $9,964,072 "
Craigcare Berwick,21 Parkhill Drive,,BERWICK,VIC,3806,Southern Metro,Residential,146,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.027916,145.327727," $9,683,951 "
Uniting AgeWell Noble Park,1312 Heatherton Road,,NOBLE PARK,VIC,3174,Southern Metro,Residential,68,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.96723311,145.1905744," $5,625,716 "
Shoreham House - Aged Care Home,3905 Frankston Flinders Road,,SHOREHAM,VIC,3916,Southern Metro,Residential,60,,,Buehler Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.4163723,145.050815," $3,781,734 "
Sheridan Hall Brighton,10 Marion Street,,BRIGHTON,VIC,3186,Southern Metro,Residential,35,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.90754141,145.0029399," $1,438,673 "
Boronia Residential Aged Care,7 Coogee Street,,BORONIA,VIC,3155,Eastern Metro,Residential,70,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.853659,145.284678," $4,923,929 "
The Mews Aged Care Facility,2a Warburton Road,,CAMBERWELL EAST,VIC,3126,Eastern Metro,Residential,64,,,Sapphire Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.826161,145.071349," $4,436,061 "
Arcare Surrey Hills,18 Florence Road,,SURREY HILLS,VIC,3127,Eastern Metro,Residential,53,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.828287,145.102336," $2,935,703 "
Darvall Lodge,519 Princes Highway,,NOBLE PARK,VIC,3174,Southern Metro,Residential,60,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.952414,145.177528," $4,162,249 "
Village Baxter - Manor,8 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,64,,,Baptist Village Baxter Ltd,Religious,Major Cities of Australia,-38.17495539,145.1444955," $4,821,732 "
Japara Bonbeach,440 Station Street,,BONBEACH,VIC,3196,Southern Metro,Residential,70,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.06686164,145.1207176," $4,902,915 "
Salisbury House Nursing Home,3 Salisbury Road,,BEACONSFIELD UPPER,VIC,3808,Southern Metro,Residential,60,,,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.00559,145.410848," $4,810,419 "
Millhaven Lodge,54-64 Princes Highway,,PAKENHAM,VIC,3810,Southern Metro,Residential,104,,,Pakenham & District Hospital Inc,Community Based,Major Cities of Australia,-38.072374,145.480334," $6,362,307 "
Bupa Croydon,124 Maroondah Highway,,CROYDON,VIC,3136,Eastern Metro,Residential,84,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7879585,145.273192," $4,958,837 "
Village Glen Aged Care Residences - Capel Sound,34 a Balaka Street,,ROSEBUD WEST,VIC,3940,Southern Metro,Residential,231,,,Ti Tree Operations Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.37015815,144.8802531," $14,839,027 "
Villa Maria Catholic Homes Wantirna Aged Care Residence,355 Stud Road,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Residential,96,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.8710103,145.2337086," $6,568,514 "
Japara Kirralee,207-213 Richard Street,,BALLARAT,VIC,3350,Grampians,Residential,113,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-37.566433,143.89006," $7,882,908 "
Kensington Grange,1/13 Ferguson Road,,LEOPOLD,VIC,3224,Barwon-South Western,Residential,100,,,Homestyle Leopold Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.190669,144.4631584," $4,535,308 "
Mercy Place Shepparton,351-359 Archer Street,,SHEPPARTON,VIC,3630,Hume,Residential,96,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-36.406656,145.4083043," $5,861,858 "
Regis Ringwood,294 Maroondah Highway,,RINGWOOD,VIC,3134,Eastern Metro,Residential,90,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.808817,145.240633," $4,723,829 "
Parkdale House,43-45 Herbert Street,,PARKDALE,VIC,3195,Southern Metro,Residential,60,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.99658078,145.0773266," $4,457,078 "
Japara Hallam,47-49 Belgrave-Hallam Road,,HALLAM,VIC,3803,Southern Metro,Residential,60,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.999997,145.274304," $4,397,217 "
Benlynne Park Nursing Home,2 Killara Street,,SUNSHINE WEST,VIC,3020,Western Metro,Residential,65,,,Taronne Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.787338,144.823781," $4,180,637 "
Cumberland Manor,25-27 Wiltshire Street,,NORTH SUNSHINE,VIC,3020,Western Metro,Residential,74,,,Primary Caring Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.775194,144.844029," $4,082,233 "
Japara Springvale,340-344 Springvale Road,,SPRINGVALE,VIC,3171,Southern Metro,Residential,73,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.95701749,145.1510921," $5,868,673 "
North Western District Private Nursing Home,14 South Circular Road,,GLADSTONE PARK,VIC,3043,Northern Metro,Residential,82,,,Sixth Eastway Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.68698685,144.886168," $5,578,101 "
Allanvale Private Nursing Home,38-40 Ascot Street South,,ALTONA MEADOWS,VIC,3028,Western Metro,Residential,31,,,Carewest Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87089,144.7636224," $1,745,845 "
Bupa Wodonga,11-19 Melrose Drive,,WODONGA,VIC,3690,Hume,Residential,116,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.116456,146.868092," $7,664,065 "
Essendon Aged Care,10 Fletcher Street,,ESSENDON,VIC,3040,Western Metro,Residential,59,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.755587,144.92497," $3,231,059 "
Trinity Manor Burwood,12-16 Edwards Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,45,,,Trinity Care Burwood Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.84939057,145.1011804," $2,106,078 "
Bupa Bonbeach,55-57 Broadway,,CHELSEA,VIC,3196,Southern Metro,Residential,96,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.054908,145.130392," $6,653,842 "
Bupa Sunshine,74 Devonshire Road,,SUNSHINE,VIC,3020,Western Metro,Residential,40,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.78570836,144.8380232," $2,545,672 "
Estia Health Ardeer,30 North Street,,ARDEER,VIC,3022,Western Metro,Residential,55,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.779275,144.807895," $4,020,228 "
Japara Yarra West,44 Stephen Street,,YARRAVILLE,VIC,3013,Western Metro,Residential,70,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.812696,144.894863," $4,192,562 "
Bupa Bellarine Lakes,402 Bellarine Highway,,MOOLAP,VIC,3224,Barwon-South Western,Residential,108,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.1805059,144.4267337," $7,287,007 "
Estia Health Altona Meadows,297 Queen Street,,ALTONA MEADOWS,VIC,3028,Western Metro,Residential,90,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87380912,144.7876352," $6,009,935 "
Bupa Thomastown,89 Dalton Road,,THOMASTOWN,VIC,3074,Northern Metro,Residential,45,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.68333265,145.0291097," $3,395,372 "
Estia Health Keilor,2-6 Copernicus Way,,KEILOR DOWNS,VIC,3038,Western Metro,Residential,60,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.723392,144.807309," $3,285,607 "
Benetas Colton Close,1-19 York Street,,GLENROY,VIC,3046,Northern Metro,Residential,150,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.70536179,144.9112813," $8,922,301 "
Bupa South Morang,18-22 McGlynn Avenue,,SOUTH MORANG,VIC,3752,Northern Metro,Residential,65,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.6546481,145.0881468," $5,409,607 "
Regis Sunraysia,253 Tenth Street,,MILDURA,VIC,3500,Loddon-Mallee,Residential,73,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,-34.17924985,142.1482585," $5,162,740 "
South Port Community Residential Home,18-30 Richardson Street,,ALBERT PARK,VIC,3206,Southern Metro,Residential,30,,,South Port Community Residential Home Inc,Community Based,Major Cities of Australia,-37.84279367,144.947789," $2,276,995 "
Mercy Place Keon Park,15 Tunaley Parade,,KEON PARK,VIC,3073,Northern Metro,Residential,96,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.69727702,145.0260296," $7,302,170 "
Westgate Aged Care Facility,4 William Street,,NEWPORT,VIC,3015,Western Metro,Residential,90,,,Pannavila Enterprises Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.841403,144.879328," $4,661,036 "
Vermont Aged Care,770 Canterbury Road,,VERMONT,VIC,3133,Eastern Metro,Residential,99,,,Georjose Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83347205,145.2094254," $3,442,365 "
Sherbrooke Private Nursing Home,18 Tarana Avenue,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,45,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8973494,145.2983013," $3,085,261 "
Mercy Place Wyndham,39 DEUTGAM Street,,WERRIBEE,VIC,3030,Western Metro,Residential,110,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.90819019,144.6571973," $6,656,643 "
DP Jones Nursing Home,38 Impey Street,,MURCHISON,VIC,3610,Hume,Residential,40,,,Murchison Community Care Inc,Community Based,Inner Regional Australia,-36.6188389,145.212674," $2,133,630 "
Royal Freemasons Footscray,25 Mephan Street,,FOOTSCRAY,VIC,3011,Western Metro,Residential,60,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.7866032,144.8842823," $4,868,961 "
Natimuk BNH-Nursing Home Annexe,6 SCHURMANN Street,,NATIMUK,VIC,3409,Grampians,Residential,20,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.74525255,141.937601," $1,671,133 "
Acacia House Residential Aged Care Service,9 Batman Avenue,,SHEPPARTON,VIC,3630,Hume,Residential,60,,,Shepparton Retirement Villages Inc,Charitable,Inner Regional Australia,-36.36389362,145.3916584," $4,170,499 "
San Carlo Homes for the Aged,970 Plenty Road,,SOUTH MORANG,VIC,3752,Northern Metro,Residential,136,,,San Carlo Homes for the Aged Ltd,Religious,Major Cities of Australia,-37.639174,145.096121," $9,020,401 "
Tarago Views Aged Care,29-39 Main Road,,NEERIM SOUTH,VIC,3831,Gippsland,Residential,25,,,Neerim District Soldiers' Memorial Hospital Inc,Private Incorporated Body,Inner Regional Australia,-38.02205343,145.9540853," $1,410,765 "
GraniteHill Aged Care,36 Kennedy Street,,EUROA,VIC,3666,Hume,Residential,75,,,Euroa Health Inc,Community Based,Inner Regional Australia,-36.759171,145.570093," $4,148,767 "
McGregor Gardens Aged Care,11 MCGREGOR Road,,PAKENHAM,VIC,3810,Southern Metro,Residential,91,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.076647,145.4744367," $6,810,197 "
Shepparton Aged Care,29-35 Pine Road,,SHEPPARTON,VIC,3630,Hume,Residential,62,,,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,Inner Regional Australia,-36.3572884,145.4073314," $4,948,341 "
Mercy Health Bethlehem Home For The Aged,36-42 Specimen Hill Road,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,120,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-36.76783957,144.2497264," $8,614,149 "
Nazareth House Ballarat,218 Mill Street,,BALLARAT,VIC,3350,Grampians,Residential,145,,,Nazareth Care,Religious,Inner Regional Australia,-37.553786,143.845017," $11,050,165 "
Riverview Aged Care,1 Aitken Avenue,,DONALD,VIC,3480,Loddon-Mallee,Residential,12,,,East Wimmera Health Service,State Government,Outer Regional Australia,-36.36512234,142.9751158," $451,491 "
Archie Gray Nursing Home Unit,1 Roache Street,,KANIVA,VIC,3419,Grampians,Residential,11,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.38118554,141.246061," $901,373 "
Avoca Nursing Home,10 Templeton Street,,AVOCA,VIC,3467,Grampians,Residential,20,,,Maryborough District Health Service,State Government,Inner Regional Australia,-37.09241886,143.4685646," $1,495,495 "
Lorne Nursing Home,7 Albert Street,,LORNE,VIC,3232,Barwon-South Western,Residential,22,,,Lorne Community Hospital,State Government,Inner Regional Australia,-38.54637283,143.9794029," $914,078 "
Cohuna District Nursing Home,144-158 King George Street,,COHUNA,VIC,3568,Loddon-Mallee,Residential,16,,,Cohuna District Hospital,State Government,Outer Regional Australia,-35.80014043,144.214509," $1,123,216 "
Japara Lakes Entrance,23 Alexandra Avenue,,KALIMNA,VIC,3909,Gippsland,Residential,75,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Outer Regional Australia,-37.876741,147.96324," $4,974,003 "
Violet Town Bush Nursing Centre,48 Cowslip Street,,VIOLET TOWN,VIC,3669,Hume,Residential,66,,,Violet Town Bush Nursing Centre Inc,Community Based,Inner Regional Australia,-36.635758,145.712629," $3,356,818 "
Cassia House,371 Manningham Road,,DONCASTER,VIC,3108,Eastern Metro,Residential,90,,,MannaCare Inc.,Community Based,Major Cities of Australia,-37.77597034,145.1182529," $4,825,472 "
Kirkbrae Kilsyth Nursing Home,794 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Residential,60,,,Presbyterian Church of Victoria Trusts Corporation,Religious,Major Cities of Australia,-37.809911,145.331096," $3,670,467 "
Birchip Nursing Home,17 Taverner Street,,BIRCHIP,VIC,3483,Loddon-Mallee,Residential,10,,,East Wimmera Health Service,State Government,Outer Regional Australia,-35.98005609,142.9162949," $619,394 "
Rupanyup District Nursing Home,89 Cromie Street,,RUPANYUP,VIC,3388,Grampians,Residential,23,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.6366658,142.6315452," $1,065,876 "
Rosebank Nursing Home,43 Station Street,,YEA,VIC,3717,Hume,Residential,10,,,Yea and District Memorial Hospital,State Government,Inner Regional Australia,-37.21395755,145.4309531," $515,704 "
Jeparit & District Nursing Home,2 Charles Street,,JEPARIT,VIC,3423,Grampians,Residential,15,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.14272431,141.9890273," $1,079,344 "
Rainbow Bush Nursing Home Annexe,2 Swinbourne Avenue,,RAINBOW,VIC,3424,Grampians,Residential,10,,,West Wimmera Health Service,State Government,Remote Australia,-35.90318608,141.9950794," $824,244 "
Mercy Place Mordialloc,10 Brindisi Street,,MENTONE,VIC,3194,Southern Metro,Residential,30,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.98465031,145.0620168," $1,064,308 "
Willaura Hospital Nursing Home,2 Delacombe Way,,WILLAURA,VIC,3379,Grampians,Residential,2,,,East Grampians Health Service,State Government,Outer Regional Australia,-37.54632915,142.7425491," $159,230 "
Lilydale Aged Care,475 Swansea Road,,LILYDALE,VIC,3140,Eastern Metro,Residential,96,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7616175,145.3537533," $6,866,561 "
Mount View Aged Care Facility,13 Austin Avenue,,TERANG,VIC,3264,Barwon-South Western,Residential,15,,,Terang and Mortlake Health Service,State Government,Inner Regional Australia,-38.23937608,142.9024933," $847,165 "
Penshurst Nursing Home,Watton Street,,PENSHURST,VIC,3289,Barwon-South Western,Residential,19,,,Western District Health Service,State Government,Outer Regional Australia,-37.876583,142.278246," $1,084,918 "
Glenview Community Care Nursing Home,168 High Street,,RUTHERGLEN,VIC,3685,Hume,Residential,40,,,Indigo North Health Inc,Charitable,Inner Regional Australia,-36.05730394,146.4585854," $2,041,639 "
Lakeview Nursing Home,22 Barree Street,,TALLANGATTA,VIC,3700,Hume,Residential,15,,,Tallangatta Health Service,State Government,Outer Regional Australia,-36.21419575,147.1832239," $983,118 "
Heathcote Health High Care Service,39 Hospital Street,,HEATHCOTE,VIC,3523,Loddon-Mallee,Residential,12,,,Heathcote Health,State Government,Inner Regional Australia,-36.92560414,144.7097048," $1,103,361 "
Boort District Health High Care,5 Kiniry Street,,BOORT,VIC,3537,Loddon-Mallee,Residential,10,,,Boort District Health,State Government,Outer Regional Australia,-36.11516886,143.7271956," $600,013 "
The Oaks Nursing Home-Gisborne,8 Neal Street,,GISBORNE,VIC,3437,Loddon-Mallee,Residential,78,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-37.48566,144.584305," $5,046,836 "
Dunolly Nursing Home,12 Havelock Street,,DUNOLLY,VIC,3472,Loddon-Mallee,Residential,19,,,Maryborough District Health Service,State Government,Inner Regional Australia,-36.8565367,143.7352165," $1,319,854 "
Valley View Nursing Home,71 McLeod Street,,COLERAINE,VIC,3315,Barwon-South Western,Residential,12,,,Western District Health Service,State Government,Outer Regional Australia,-37.60053727,141.6921575," $834,806 "
Spurway Community,89 -91 Murrumbeena Road,,MURRUMBEENA,VIC,3163,Southern Metro,Residential,30,,,City of Glen Eira,Local Government,Major Cities of Australia,-37.89085148,145.0661053," $1,912,888 "
Northside Aged Persons Mental Health Residential Care Facility,320 BURWOOD HIGHWAY -,,BURWOOD EAST,VIC,3151,Eastern Metro,Residential,30,,,Eastern Health,State Government,Major Cities of Australia,-37.854334,145.162215," $1,604,476 "
Heywood Nursing Home,21 Barclay Street,,HEYWOOD,VIC,3304,Barwon-South Western,Residential,12,,,Heywood Rural Health,State Government,Outer Regional Australia,-38.136946,141.6247213," $787,270 "
Mercy Place Rosebud,1497 Point Nepean Road,,ROSEBUD,VIC,3939,Southern Metro,Residential,30,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.361051,144.886513," $1,997,569 "
Jack Lonsdale Lodge,232 Spencer Street,,SEBASTOPOL,VIC,3356,Grampians,Residential,60,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.59697688,143.8380299," $3,201,232 "
Daylesford Nursing Home,13 Hospital Street,,DAYLESFORD,VIC,3460,Grampians,Residential,18,,,Hepburn Health Service,State Government,Inner Regional Australia,-37.337496,144.145251," $1,251,948 "
Donwood Nursing Home,11 Diana Street,,CROYDON,VIC,3136,Eastern Metro,Residential,45,,,Donwood Community Aged Care Services Inc,Community Based,Major Cities of Australia,-37.799678,145.26086," $3,138,008 "
Ian Brand Nursing Home,1231 Plenty Road,,BUNDOORA,VIC,3083,Northern Metro,Residential,30,,,Northern Health,State Government,Major Cities of Australia,-37.70096938,145.0576404," $1,761,356 "
Edward Street Nursing Home,2-4-6 Edward Street,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,30,,,Eastern Health,State Government,Major Cities of Australia,-37.89802011,145.3142194," $1,504,117 "
Elizabeth Gardens Burwood,2 Elizabeth Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,30,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.85812779,145.0957599," $2,002,942 "
Darlingford Upper Goulburn Nursing Home,5 High Street,,EILDON,VIC,3713,Hume,Residential,51,,,Darlingford Upper Goulburn Nursing Home Inc,Community Based,Outer Regional Australia,-37.22992633,145.9133686," $2,098,598 "
Caladenia Nursing Home,Rutledge Street,,KILMORE,VIC,3764,Hume,Residential,30,,,The Kilmore & District Hospital,State Government,Inner Regional Australia,-37.30054088,144.9547589," $1,578,994 "
Cumberland View Aged Care - Windmill Court,4 Windmill Court,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,35,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.921405,145.191639," $1,677,121 "
Carinya Nursing Home (Frankston Extended Care),125 Golf Links Road,,FRANKSTON,VIC,3199,Southern Metro,Residential,30,,,Peninsula Health,State Government,Major Cities of Australia,-38.1743498,145.1499876," $1,807,939 "
Baptcare Wyndham Lodge Community,120 Synnot Street,,WERRIBEE,VIC,3030,Western Metro,Residential,150,,,Baptcare Ltd,Religious,Major Cities of Australia,-37.90682,144.653546," $11,800,122 "
Craigcare Mornington,688 Nepean Highway,,MOUNT MARTHA,VIC,3934,Southern Metro,Residential,118,,,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.251336,145.037024," $5,111,369 "
Yarraman Nursing Home,22 B Yarraman Road,,NOBLE PARK,VIC,3174,Southern Metro,Residential,30,,,Monash Health,State Government,Major Cities of Australia,-37.977285,145.180886," $1,876,497 "
Koraleigh Nursing Home,Purdey Street,,TONGALA,VIC,3621,Loddon-Mallee,Residential,30,,,Tongala & District Memorial Aged Care Service Inc,Community Based,Inner Regional Australia,-36.247725,144.95768," $1,564,881 "
Bill Crawford Lodge,1101 Dana Street,,BALLARAT,VIC,3350,Grampians,Residential,30,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.56235611,143.8435707," $2,242,565 "
St Elmo's Nursing Home,85 Commercial Road,,YARRAM,VIC,3971,Gippsland,Residential,30,,,Yarram & District Health Service,State Government,Inner Regional Australia,-38.55696178,146.6777133," $1,058,114 "
Warrawee Nursing Home,854 A Centre Road,,BENTLEIGH EAST,VIC,3165,Southern Metro,Residential,90,,,City of Glen Eira,Local Government,Major Cities of Australia,-37.92309288,145.0729946," $3,887,907 "
Alan David Lodge,382 Torquay Road,,GROVEDALE,VIC,3216,Barwon-South Western,Residential,89,,,Barwon Health,State Government,Major Cities of Australia,-38.215835,144.338687," $5,838,963 "
Moyne Health Services-Belfast House,97 Regent Street,,PORT FAIRY,VIC,3284,Barwon-South Western,Residential,30,,,Moyne Health Services,State Government,Inner Regional Australia,-38.38065757,142.2273113," $1,800,712 "
P.S. Hobson Nursing Home,302 Gillies Street,,WENDOUREE,VIC,3355,Grampians,Residential,60,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.53624453,143.8230302," $4,456,152 "
Opal Sale,12-14 Sale-Maffra Road,,SALE,VIC,3850,Gippsland,Residential,65,,,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.091887,147.067217," $4,090,455 "
